"","age","age2","female","clase","p6210","relab","p6210s1","college","cotPension","cuentaPropia","estrato1","fex_c","formal","fweight","hoursWorkUsual","inglabo","ingtot","impa","isa","maxEducLevel","mes","microEmpresa","oficio","p6050","p6426","y_ingLab_m","y_ingLab_m_ha","y_salarySec_m","y_salary_m_hu","y_total_m","y_total_m_ha"
"1",36,1296,0,1,5,2,11,1,1,0,2,254.687742271476,1,255,45,1840833.33333333,1840833.33333333,1840833.33333333,0,6,1,0,39,1,166,1620833.25,8404.3203125,NA,6740.74072265625,1620833.25,8404.3203125
"2",51,2601,0,1,6,1,3,0,1,0,2,194.208921972393,1,194,48,1378973.33333333,1878973.33333333,1378973.33333333,0,7,1,0,85,1,12,1378973.375,6703.3427734375,NA,5833.33349609375,1378973.375,6703.3427734375
"3",45,2025,0,1,3,1,5,0,1,0,2,243.45515246432,1,243,56,883357,883357,883357,0,4,1,1,45,1,15,883357,3680.65405273438,NA,3073.82080078125,883357,3680.65405273438
"4",61,3721,0,1,3,1,3,0,2,0,2,230.177656890553,0,230,40,7e+05,1200000,7e+05,0,3,1,0,53,1,120,7e+05,4083.33325195312,NA,4083.33325195312,7e+05,4083.33325195312
"5",35,1225,1,1,6,2,5,0,1,0,2,341.979787849128,1,342,48,1941500,1941500,1941500,0,7,1,0,13,2,24,1941500.125,9437.84765625,NA,8263.888671875,1941500.125,9437.84765625
"6",35,1225,1,1,5,1,11,1,1,0,2,352.079215448786,1,352,40,1083000,1083000,1083000,0,6,1,0,42,1,36,1083000,6317.5,NA,5541.66650390625,1083000,6317.5
"7",39,1521,0,1,6,1,7,0,1,0,2,352.079215448786,1,352,44,1616333.33333333,1716333.33333333,1616333.33333333,0,7,1,0,33,2,94,1616333.375,8571.46484375,NA,7689.39404296875,1616333.375,8571.46484375
"8",29,841,0,1,6,4,2,0,2,1,2,254.687742271476,0,255,40,1e+06,1e+06,1e+06,0,7,1,1,37,3,6,NA,NA,NA,NA,1e+06,5833.33349609375
"9",29,841,0,1,5,1,11,1,1,0,2,429.27183342678,1,429,54,779000,779000,779000,0,6,1,1,45,1,24,779000,3366.04931640625,NA,3240.74072265625,779000,3366.04931640625
"10",44,1936,1,1,4,4,8,0,2,1,2,205.425424579072,0,205,42,3e+05,3e+05,3e+05,0,5,1,1,57,2,6,NA,NA,NA,NA,3e+05,1666.66662597656
"11",31,961,0,1,5,1,11,1,1,0,2,173.941869400003,1,174,55,0,2121000,0,0,6,1,0,45,3,24,NA,NA,NA,NA,NA,NA
"12",18,324,1,1,5,1,11,1,2,0,2,173.941869400003,0,174,84,0,250000,0,0,6,1,1,45,3,18,NA,NA,NA,NA,NA,NA
"13",55,3025,0,1,5,5,11,1,2,0,2,238.640556816578,0,239,48,0,9e+05,0,0,6,1,1,84,1,2,NA,NA,NA,NA,NA,NA
"14",56,3136,1,1,3,1,5,0,1,0,2,347.558417964202,1,348,48,820857,820857,820857,0,4,1,0,55,1,30,820857,3990.27709960938,NA,3586.12426757812,820857,3990.27709960938
"15",23,529,0,1,6,1,4,0,1,0,2,243.471239664797,1,243,40,882333.416666667,1226333.41666667,882333.416666667,0,7,1,0,39,3,51,882333.4375,5146.94482421875,NA,4303.34912109375,882333.4375,5146.94482421875
"16",30,900,0,1,5,1,11,1,1,0,2,243.471239664797,1,243,54,949806.666666667,1237806.66666667,949806.666666667,0,6,1,0,53,3,8,949806.6875,4104.10302734375,NA,3456.7900390625,949806.6875,4104.10302734375
"17",50,2500,1,1,6,4,2,0,2,1,2,254.687742271476,0,255,48,6e+05,6e+05,6e+05,0,7,1,1,45,1,72,NA,NA,NA,NA,6e+05,2916.66674804688
"18",28,784,0,1,6,1,2,0,1,0,2,254.687742271476,1,255,48,949806.666666667,949806.666666667,949806.666666667,0,7,1,0,39,3,24,949806.6875,4617.11572265625,NA,3888.88891601562,949806.6875,4617.11572265625
"19",54,2916,1,1,4,4,8,0,2,1,2,241.981809536919,0,242,66,1500000,1500000,1500000,0,5,1,1,79,1,120,NA,NA,NA,NA,1500000,5303.0302734375
"20",36,1296,0,1,5,1,11,1,2,0,2,258.629844712917,0,259,16,3e+05,310000,3e+05,0,6,1,1,37,3,36,3e+05,4375,NA,4375,3e+05,4375
"21",53,2809,1,1,4,4,8,0,2,1,2,201.182391770539,0,201,40,60000,60000,60000,0,5,1,1,56,1,120,NA,NA,NA,NA,60000,350
"22",33,1089,1,1,6,1,3,0,1,0,2,200.904627094488,1,201,48,1591500,1591500,1591500,0,7,1,0,39,2,24,1591500,7736.45849609375,NA,7291.66650390625,1591500,7736.45849609375
"23",38,1444,0,1,5,1,11,1,1,0,2,200.904627094488,1,201,48,795883.666666667,795883.666666667,795883.666666667,0,6,1,0,37,1,96,795883.6875,3868.87915039062,NA,3586.12426757812,795883.6875,3868.87915039062
"24",51,2601,0,1,5,4,11,1,2,1,2,243.471239664797,0,243,48,0,70000,0,0,6,1,1,93,2,100,NA,NA,NA,NA,NA,NA
"25",51,2601,1,1,5,1,11,1,1,0,2,243.471239664797,1,243,45,1083333.33333333,1083333.33333333,1083333.33333333,0,6,1,0,55,1,72,1083333.375,5617.2841796875,NA,5185.18505859375,1083333.375,5617.2841796875
"26",43,1849,0,1,6,1,3,0,1,0,2,144.946604279989,1,145,48,3633333.33333333,3633333.33333333,3633333.33333333,0,7,1,0,21,1,24,3633333.25,17662.037109375,NA,17013.888671875,3633333.25,17662.037109375
"27",47,2209,0,1,5,4,11,1,1,1,2,254.121161167727,1,254,70,1300000,1300000,1300000,0,6,1,1,98,2,204,NA,NA,NA,NA,1300000,4333.33349609375
"28",41,1681,1,1,5,2,11,1,1,0,2,254.121161167727,1,254,40,1659806.66666667,1659806.66666667,1659806.66666667,0,6,1,0,32,1,48,1659806.625,9682.205078125,NA,8166.66650390625,1659806.625,9682.205078125
"29",31,961,1,1,5,1,11,1,1,0,2,288.196672672141,1,288,48,826883.666666667,826883.666666667,826883.666666667,0,6,1,0,97,3,24,826883.6875,4019.57348632812,NA,3586.12426757812,826883.6875,4019.57348632812
"30",36,1296,0,1,4,1,8,0,1,0,2,288.196672672141,1,288,48,825800.333333333,825800.333333333,825800.333333333,0,5,1,0,98,9,156,825800.375,4014.30737304688,NA,3586.12426757812,825800.375,4014.30737304688
"31",50,2500,1,1,5,1,11,1,1,0,2,234.707409371681,1,235,48,910333.416666667,910333.416666667,910333.416666667,0,6,1,0,55,1,108,910333.4375,4425.23193359375,NA,3586.12426757812,910333.4375,4425.23193359375
"32",42,1764,1,1,5,3,11,1,1,0,2,330.763285242449,1,331,48,1087000,1087000,1087000,0,6,1,1,54,2,12,1087000,5284.02783203125,NA,4375,1087000,5284.02783203125
"33",45,2025,0,1,3,1,5,0,1,0,2,330.763285242449,1,331,45,1500000,1500000,1500000,0,4,1,0,98,1,70,1500000,7777.77783203125,NA,7777.77783203125,1500000,7777.77783203125
"34",20,400,0,1,6,1,2,0,1,0,2,330.763285242449,1,331,60,786000,786000,786000,0,7,1,0,95,3,4,786000,3056.66674804688,NA,3056.66674804688,786000,3056.66674804688
"35",49,2401,0,1,5,1,11,1,1,0,2,263.1506421975,1,263,48,1283140,1283140,1283140,0,6,1,0,58,1,36,1283140,6237.486328125,NA,5833.33349609375,1283140,6237.486328125
"36",47,2209,1,1,5,4,10,1,2,1,2,337.736755040595,0,338,9,2e+05,3e+05,2e+05,0,6,1,1,55,1,24,NA,NA,NA,NA,2e+05,5185.18505859375
"37",24,576,0,1,5,4,11,1,2,1,2,247.124525678539,0,247,60,850000,850000,850000,0,6,1,1,98,1,36,NA,NA,NA,NA,850000,3305.5556640625
"38",27,729,0,1,6,1,1,0,1,0,2,254.687742271476,1,255,42,1333140,1333140,1333140,0,7,1,0,33,3,12,1333140,7406.33349609375,NA,6666.66650390625,1333140,7406.33349609375
"39",24,576,1,1,6,1,7,0,1,0,2,131.653021505745,1,132,40,3050000,3050000,2450000,6e+05,7,1,0,30,3,12,3050000,17791.666015625,6e+05,13416.6669921875,3050000,17791.666015625
"40",47,2209,1,1,6,1,8,0,1,0,2,131.653021505745,1,132,84,2283333.33333333,2283333.33333333,2283333.33333333,0,7,1,0,19,1,3,2283333.25,6342.59228515625,NA,4722.22216796875,2283333.25,6342.59228515625
"41",55,3025,0,1,4,4,9,0,1,1,2,131.653021505745,1,132,48,1800000,1800000,1800000,0,5,1,1,83,2,360,NA,NA,NA,NA,1800000,8750
"42",21,441,0,1,6,1,4,0,2,0,3,234.707409371681,0,235,15,350000,350000,350000,0,7,1,0,42,5,1,350000,5444.4443359375,NA,5444.4443359375,350000,5444.4443359375
"43",29,841,0,1,5,1,11,1,2,0,2,263.1506421975,0,263,48,820857,820857,820857,0,6,1,1,55,1,18,820857,3990.27709960938,NA,3586.12426757812,820857,3990.27709960938
"44",63,3969,1,1,5,4,11,1,2,1,3,258.352080036866,0,258,48,5e+05,1300000,5e+05,0,6,1,1,51,1,120,NA,NA,NA,NA,5e+05,2430.5556640625
"45",35,1225,0,1,3,1,5,0,1,0,2,250.166944786892,1,250,56,1513140,1513140,1513140,0,4,1,0,98,3,38,1513140,6304.75,NA,5000,1513140,6304.75
"46",56,3136,1,1,5,1,11,1,1,0,2,250.166944786892,1,250,48,882333.416666667,882333.416666667,882333.416666667,0,6,1,0,55,1,142,882333.4375,4289.12109375,NA,3586.12426757812,882333.4375,4289.12109375
"47",53,2809,1,1,5,1,11,1,1,0,2,201.182391770539,1,201,48,1275000,1275000,1275000,0,6,1,0,45,1,112,1275000,6197.91650390625,NA,5833.33349609375,1275000,6197.91650390625
"48",23,529,1,1,6,1,4,0,1,0,2,201.182391770539,1,201,48,1625000,1625000,1625000,0,7,1,0,39,3,8,1625000,7899.3056640625,NA,7291.66650390625,1625000,7899.3056640625
"49",41,1681,0,1,5,1,11,1,1,0,2,242.904658561048,1,243,49,820857,820857,820857,0,6,1,0,55,1,2,820857,3908.8427734375,NA,3512.93798828125,820857,3908.8427734375
